Dataset,Feature,Mean_Positive,Median_Positive,Variance_Positive,Mean_Negative,Median_Negative,Variance_Negative
Dataset_5,occurrences,2.3214285714285716,2.0,2.1466836734693877,1.9732895970009372,1.0,11.629558344437232
Dataset_5,maxEndColumnNumberInCurrentLine,106.01785714285714,95.0,4337.838966836735,89.13589503280225,76.0,3234.5672869917935
Dataset_5,charLength,27.839285714285715,22.0,386.2063137755102,21.412371134020617,14.0,599.3501000009663
Dataset_5,tokenLength,3.107142857142857,2.0,3.845663265306122,4.021555763823805,2.0,45.04639570518468
Dataset_5,numsParentVariableDeclarationFragment,0.14795918367346936,0.0,0.09142096464436113,0.24875193875238208,0.0,0.16854449973103303
Dataset_5,isName,0.05357142857142857,0.0,0.0507015306122449,0.3158388003748828,0.0,0.21608465255263773
Dataset_5,isLiteral,0.017857142857142856,0.0,0.01753826530612245,0.11433926897844424,0.0,0.1012658005479192
Dataset_5,isGetMethod,0.5357142857142857,1.0,0.24872448979591838,0.08388003748828492,0.0,0.07684417679924883
Dataset_5,isArithmeticExp,0.03571428571428571,0.0,0.03443877551020409,0.24882849109653232,0.0,0.18691287311515528
Dataset_5,largestLineGap,10.714285714285714,2.0,561.8112244897959,6.686504217432052,0.0,451.9415516970299
Dataset_5,numsParentArithmeticExp,1.0892857142857142,0.0,4.6527423469387745,2.400187441424555,0.0,86.63085282334745
Dataset_5,isMethodInvocation,0.7321428571428571,1.0,0.19610969387755103,0.1485473289597001,0.0,0.1264810200186387
Dataset_6,occurrences,3.025,2.0,9.424375,1.9037209302325582,1.0,8.369800108166576
Dataset_6,maxEndColumnNumberInCurrentLine,102.075,85.0,2976.919375,91.1613953488372,76.0,3515.3139515413736
Dataset_6,charLength,27.7,20.5,571.2099999999999,22.39581395348837,14.0,746.6707731746891
Dataset_6,tokenLength,2.8,2.0,2.46,4.1251162790697675,2.0,49.82015987020011
Dataset_6,numsParentVariableDeclarationFragment,0.15833333333333335,0.0,0.08443055555555558,0.24331531850661636,0.0,0.16413499539828424
Dataset_6,isName,0.125,0.0,0.109375,0.30790697674418605,0.0,0.21310027041644133
Dataset_6,isLiteral,0.025,0.0,0.024374999999999997,0.12,0.0,0.1056
Dataset_6,isGetMethod,0.375,0.0,0.234375,0.10046511627906977,0.0,0.09037187669010277
Dataset_6,isArithmeticExp,0.05,0.0,0.047499999999999994,0.24232558139534885,0.0,0.18360389399675497
Dataset_6,largestLineGap,17.05,3.0,1051.8475000000003,5.952093023255814,0.0,365.44282120064895
Dataset_6,numsParentArithmeticExp,2.3,1.0,25.410000000000004,2.0716279069767443,0.0,62.100915954570034
Dataset_6,isMethodInvocation,0.55,1.0,0.24749999999999997,0.15767441860465117,0.0,0.13281319632233643
Dataset_7,occurrences,2.2181818181818183,2.0,1.9523966942148758,1.932552693208431,1.0,7.537371235513824
Dataset_7,maxEndColumnNumberInCurrentLine,118.01818181818182,111.0,4300.381487603307,90.97658079625293,76.0,3689.3577653582256
Dataset_7,charLength,32.472727272727276,23.0,865.2674380165289,20.72271662763466,14.0,616.1544956644308
Dataset_7,tokenLength,3.290909090909091,2.0,5.769917355371901,4.029508196721311,2.0,57.18179905555343
Dataset_7,numsParentVariableDeclarationFragment,0.15757575757575756,0.0,0.09941230486685032,0.2503027549219383,0.0,0.16881138688948294
Dataset_7,isName,0.01818181818181818,0.0,0.01785123966942149,0.33817330210772834,0.0,0.22381211984928343
Dataset_7,isLiteral,0.01818181818181818,0.0,0.01785123966942149,0.11381733021077284,0.0,0.10086294555446473
Dataset_7,isGetMethod,0.4909090909090909,0.0,0.24991735537190082,0.09414519906323185,0.0,0.08528188055657632
Dataset_7,isArithmeticExp,0.07272727272727272,0.0,0.06743801652892563,0.24402810304449649,0.0,0.1844783879690011
Dataset_7,largestLineGap,5.327272727272727,1.0,104.54743801652893,6.19016393442623,0.0,432.0603247974814
Dataset_7,numsParentArithmeticExp,1.2181818181818183,0.0,5.770578512396694,2.4084309133489463,0.0,104.20039730377503
Dataset_7,isMethodInvocation,0.7090909090909091,1.0,0.20628099173553716,0.15128805620608898,0.0,0.12839998025547225
